PG,SG,SF,PF,C,G,F,UTIL,P,R,O,J
James Harden,Collin Sexton,Kevin Durant,D.J. Wilson,Montrezl Harrell,Ricky Rubio,Giannis Antetokounmpo,Onyeka Okongwu,295.15
Ricky Rubio,Will Barton,OG Anunoby,D.J. Wilson,Nikola Jokic,Collin Sexton,Giannis Antetokounmpo,Montrezl Harrell,294.43
Ricky Rubio,Collin Sexton,Anthony Edwards,D.J. Wilson,Nikola Jokic,,Kevin Durant,Montrezl Harrell,293.06
Luka Doncic,Collin Sexton,Kevin Durant,D.J. Wilson,Nikola Jokic,Ricky Rubio,Onyeka Okongwu,Greg Monroe,292.95
Tyrese Maxey,Collin Sexton,Anthony Edwards,D.J. Wilson,Nikola Jokic,Ricky Rubio,Giannis Antetokounmpo,Onyeka Okongwu,291.59
Luka Doncic,Collin Sexton,Pat Connaughton,D.J. Wilson,Montrezl Harrell,Dejounte Murray,Giannis Antetokounmpo,Ricky Rubio,291.57
Monte Morris,Collin Sexton,Harrison Barnes,D.J. Wilson,Nikola Jokic,Ricky Rubio,Giannis Antetokounmpo,Christian Wood,291.37
Tyrese Maxey,Collin Sexton,LeBron James,D.J. Wilson,Christian Wood,Ricky Rubio,Giannis Antetokounmpo,Montrezl Harrell,291.17
Dejounte Murray,Collin Sexton,Kevin Durant,D.J. Wilson,Greg Monroe,Ricky Rubio,Aaron Gordon,Giannis Antetokounmpo,290.9
Brandon Goodwin,Collin Sexton,Kevin Durant,D.J. Wilson,Nikola Jokic,Ricky Rubio,Giannis Antetokounmpo,Cameron Oliver,290.85
Luka Doncic,Collin Sexton,LeBron James,D.J. Wilson,Montrezl Harrell,Ricky Rubio,Kevin Durant,Cameron Oliver,290.28
James Harden,Collin Sexton,OG Anunoby,D.J. Wilson,Nikola Jokic,Tyrese Maxey,Harrison Barnes,Ricky Rubio,290.06
Dejounte Murray,Collin Sexton,Kevin Durant,Darius Bazley,Nikola Jokic,Monte Morris,D.J. Wilson,Ricky Rubio,290.03
Trae Young,Collin Sexton,Harrison Barnes,D.J. Wilson,Giannis Antetokounmpo,Dejounte Murray,Onyeka Okongwu,Ricky Rubio,290.03
Dejounte Murray,Collin Sexton,Kevin Durant,D.J. Wilson,Rudy Gobert,Ricky Rubio,John Collins,Montrezl Harrell,289.9
James Harden,Will Barton,Kevin Durant,D.J. Wilson,Christian Wood,Ricky Rubio,OG Anunoby,Collin Sexton,289.88
Dejounte Murray,Collin Sexton,OG Anunoby,D.J. Wilson,Nikola Jokic,Ricky Rubio,Onyeka Okongwu,Rudy Gobert,289.84
Tyrese Maxey,Collin Sexton,Kevin Durant,D.J. Wilson,Rudy Gobert,Monte Morris,Giannis Antetokounmpo,Ricky Rubio,289.7
James Harden,Collin Sexton,LeBron James,Darius Bazley,Montrezl Harrell,Dejounte Murray,D.J. Wilson,Ricky Rubio,289.65
Ricky Rubio,Will Barton,Kevin Durant,D.J. Wilson,Giannis Antetokounmpo,D'Angelo Russell,Harrison Barnes,Collin Sexton,289.42
James Harden,Collin Sexton,Harrison Barnes,D.J. Wilson,Rudy Gobert,Ricky Rubio,Giannis Antetokounmpo,Greg Monroe,289.28
Tyrese Maxey,Collin Sexton,Kevin Durant,Jae'Sean Tate,Nikola Jokic,Ricky Rubio,D.J. Wilson,Christian Wood,289.21
De'Aaron Fox,Collin Sexton,LeBron James,D.J. Wilson,Nikola Jokic,Ricky Rubio,Aaron Gordon,Montrezl Harrell,289.1
Trae Young,Collin Sexton,Aaron Gordon,D.J. Wilson,Rudy Gobert,Ricky Rubio,Giannis Antetokounmpo,Montrezl Harrell,288.99
Ricky Rubio,Collin Sexton,Anthony Edwards,Darius Bazley,Giannis Antetokounmpo,,D.J. Wilson,Kevin Durant,288.78
